                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4174,                 3.3198,                 2.0903,                0.00554,                0.42917,                0.03721,                0.01363,                 2.4373,                  3.473,                 2.0444,                  6e-05,                  6e-05,                  6e-05
                      1,                 2.2548,                 3.1433,                 1.9719,                 0.0086,                0.66667,                0.14275,                0.04823,                 2.1721,                 3.3086,                 1.8138,             0.00013723,             0.00013723,             0.00013723
                      2,                 2.2715,                 2.8342,                 1.9185,                0.00941,                0.72917,                 0.1484,                0.05066,                 2.1064,                 3.2409,                 1.7556,             0.00021129,             0.00021129,             0.00021129
                      3,                 2.1439,                 2.4587,                 1.7679,                0.01027,                0.79583,                0.18451,                 0.0635,                 2.1141,                 3.1657,                 1.6616,             0.00028218,             0.00028218,             0.00028218
                      4,                 2.0925,                 2.1916,                 1.7016,                0.01022,                0.79167,                0.22869,                0.08523,                 2.0745,                  3.102,                 1.6126,              0.0003499,              0.0003499,              0.0003499
                      5,                 2.0569,                 2.1675,                 1.6592,                0.01091,                0.84583,                0.24613,                0.09384,                 2.0441,                 3.0515,                 1.5744,             0.00041446,             0.00041446,             0.00041446
                      6,                 2.0234,                 2.1627,                 1.6816,                0.01032,                    0.8,                   0.26,                 0.1067,                 1.9255,                 2.9962,                 1.5604,             0.00047585,             0.00047585,             0.00047585
                      7,                 2.0097,                 2.2184,                 1.6418,                0.01115,                 0.7625,                0.24966,                0.10826,                 1.8771,                 2.9906,                  1.586,             0.00053407,             0.00053407,             0.00053407
                      8,                 2.0632,                 2.1136,                 1.6187,                0.73937,                0.07093,                0.25708,                0.11198,                 1.8615,                 2.9468,                 1.6197,             0.00058912,             0.00058912,             0.00058912
                      9,                  1.962,                 2.0563,                 1.6323,                0.87992,                0.15269,                 0.3346,                0.14596,                 1.8499,                  2.906,                 1.6175,               0.000641,               0.000641,               0.000641
                     10,                 1.9711,                 1.9068,                 1.6464,                      1,                0.08264,                0.30295,                0.13465,                 1.9262,                 2.9507,                 1.7487,             0.00068972,             0.00068972,             0.00068972
                     11,                 1.8887,                 1.8267,                 1.5842,                0.54992,                 0.1222,                0.20394,                0.09586,                 1.9276,                 2.9335,                 1.7618,             0.00073527,             0.00073527,             0.00073527
                     12,                  1.929,                 1.8637,                 1.5768,                0.53141,                0.08508,                0.22695,                0.10112,                 1.8595,                 2.8314,                  1.703,             0.00077765,             0.00077765,             0.00077765
                     13,                  1.824,                 1.7385,                 1.5239,                0.73227,                0.09119,                0.27442,                0.12336,                 1.8747,                 2.7665,                 1.6896,             0.00081686,             0.00081686,             0.00081686
                     14,                 1.8864,                 1.7768,                 1.5723,                0.43866,                0.17083,                 0.2101,                0.09519,                 1.9314,                 2.7253,                 1.7536,              0.0008529,              0.0008529,              0.0008529
                     15,                 1.8391,                  1.747,                 1.5674,                0.26373,                0.14583,                 0.1518,                  0.065,                 2.0212,                 2.7653,                  1.836,             0.00088578,             0.00088578,             0.00088578
                     16,                 1.9111,                 1.7013,                 1.5737,                0.30426,                0.14167,                0.13527,                0.05022,                 2.0426,                 2.9755,                 1.9096,             0.00091549,             0.00091549,             0.00091549
                     17,                 1.9433,                 1.7252,                 1.6117,                0.41471,                0.20417,                 0.2112,                0.08588,                 1.9321,                 2.8862,                 1.7605,             0.00094203,             0.00094203,             0.00094203
                     18,                 1.8553,                 1.7136,                 1.5622,                0.39094,                   0.25,                0.25831,                0.11987,                 1.8922,                 2.6548,                 1.7018,              0.0009654,              0.0009654,              0.0009654
                     19,                 1.8181,                 1.7221,                 1.5686,                0.45111,                  0.275,                0.29098,                 0.1374,                  1.896,                 2.5571,                 1.6983,              0.0009856,              0.0009856,              0.0009856
                     20,                 1.8172,                 1.6922,                 1.5093,                0.68687,                0.26506,                0.32063,                0.15559,                 1.9511,                 2.4361,                 1.7416,              0.0010026,              0.0010026,              0.0010026
                     21,                 1.8427,                 1.6516,                 1.5292,                 0.4936,                0.30866,                0.33882,                0.16239,                 1.8827,                 2.3577,                  1.706,              0.0010165,              0.0010165,              0.0010165
                     22,                 1.7489,                 1.5471,                 1.4652,                0.53424,                 0.4125,                0.35501,                0.15665,                 1.9027,                 2.2849,                 1.6806,              0.0010272,              0.0010272,              0.0010272
                     23,                 1.7418,                 1.5816,                  1.492,                0.56099,                   0.45,                0.42239,                0.18513,                 1.8791,                 2.2275,                 1.6655,              0.0010347,              0.0010347,              0.0010347
                     24,                 1.8118,                 1.5934,                 1.5296,                0.70776,                0.39167,                0.47927,                 0.2276,                 1.8644,                 2.1189,                 1.6353,              0.0010391,              0.0010391,              0.0010391
                     25,                 1.6667,                 1.5274,                 1.4514,                0.72895,                0.41667,                0.50233,                0.23871,                 1.8966,                 2.0359,                 1.6353,                0.00101,                0.00101,                0.00101
                     26,                 1.7264,                 1.5581,                  1.482,                0.61013,                0.48905,                0.53579,                0.26324,                  1.842,                  1.954,                 1.5711,                0.00101,                0.00101,                0.00101
                     27,                  1.555,                 1.3928,                 1.4144,                0.63212,                    0.5,                0.56007,                0.26634,                 1.8331,                 1.9379,                 1.6131,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.7012,                 1.5126,                 1.5162,                0.67973,                0.52083,                0.58583,                0.27621,                 1.8585,                 1.9273,                 1.6308,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.7062,                 1.5645,                 1.5087,                0.70268,                 0.5375,                0.59607,                 0.2986,                 1.8277,                 1.9173,                 1.5938,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.6685,                 1.4551,                 1.4406,                0.73207,                0.50833,                0.58845,                0.29625,                 1.7906,                 1.8698,                 1.5541,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.6992,                 1.5137,                 1.4604,                 0.7663,                0.51667,                0.61841,                0.31973,                 1.7719,                   1.87,                 1.5541,               0.000812,               0.000812,               0.000812
                     32,                 1.6617,                 1.4394,                 1.4377,                0.76252,                0.51667,                0.63797,                0.31711,                  1.795,                 1.8228,                  1.575,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.6808,                 1.4537,                 1.4337,                0.65155,                0.59212,                0.66302,                0.31799,                 1.7883,                 1.7528,                 1.5738,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.579,                  1.409,                 1.3849,                0.72927,                0.59583,                0.69668,                0.35482,                 1.7108,                 1.6339,                 1.4843,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.698,                  1.392,                 1.4172,                0.75381,                0.62083,                0.72322,                0.39137,                 1.6216,                 1.5405,                   1.43,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5691,                 1.3542,                 1.4007,                0.78252,                0.65833,                0.73537,                0.40616,                 1.5606,                 1.4852,                 1.3864,               0.000614,               0.000614,               0.000614
                     37,                  1.616,                 1.3687,                  1.401,                0.83831,                0.66968,                0.76172,                0.43751,                 1.4942,                 1.4454,                 1.3448,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4342,                  1.234,                 1.2956,                0.83667,                0.68301,                0.77313,                0.42043,                 1.5525,                 1.4586,                 1.3766,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5524,                 1.2466,                 1.3331,                 0.8174,                    0.7,                0.78988,                0.41715,                 1.5992,                  1.455,                 1.4041,              0.0004952,              0.0004952,              0.0004952
